epoch,accuracy,loss,val_accuracy,val_loss
0,0.38791733980178833,0.134994775056839,0.3611111044883728,0.13469649851322174
1,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
2,0.39109697937965393,0.1346319615840912,0.3611111044883728,0.13469649851322174
3,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
4,0.39109697937965393,0.13463194668293,0.3611111044883728,0.13469649851322174
5,0.39109697937965393,0.13463194668293,0.3611111044883728,0.13469649851322174
6,0.39109697937965393,0.13463199138641357,0.3611111044883728,0.13469649851322174
7,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
8,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
9,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
10,0.38950714468955994,0.13483302295207977,0.3611111044883728,0.13469649851322174
11,0.39109697937965393,0.1347777396440506,0.3611111044883728,0.13469649851322174
12,0.39109697937965393,0.1346319615840912,0.3611111044883728,0.13469649851322174
13,0.39109697937965393,0.13463194668293,0.3611111044883728,0.13469649851322174
14,0.39109697937965393,0.1346319317817688,0.3611111044883728,0.13469649851322174
15,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
16,0.39109697937965393,0.1346319168806076,0.3611111044883728,0.13469649851322174
17,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
18,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
19,0.39109697937965393,0.1346319168806076,0.3611111044883728,0.13469649851322174
20,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
21,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
22,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
23,0.39109697937965393,0.13463194668293,0.3611111044883728,0.13469649851322174
24,0.39109697937965393,0.1346319615840912,0.3611111044883728,0.13469649851322174
25,0.39109697937965393,0.13463197648525238,0.3611111044883728,0.13469649851322174
26,0.39109697937965393,0.1346319615840912,0.3611111044883728,0.13469649851322174
